Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10-10-2017,HDFC,EQ,1749.7,1748.55,1749.7,1737.3,1745.95,1744.75,1742.88,1956024,3.40912E+14,79174,1406140,0.7189
11-10-2017,HDFC,EQ,1744.75,1750,1763.4,1741.95,1747.1,1750.75,1752.07,1251359,2.19247E+14,53541,862293,0.6891
12-10-2017,HDFC,EQ,1750.75,1752.15,1758.8,1742.1,1752.2,1755.55,1751.96,1570135,2.75081E+14,74706,1100086,0.7006
13-10-2017,HDFC,EQ,1755.55,1752.1,1773.8,1752,1763.6,1766.45,1764.88,2721949,4.80392E+14,91914,2111044,0.7756
16-10-2017,HDFC,EQ,1766.45,1771,1779.4,1746.05,1760.25,1762.9,1761.36,2650209,4.66797E+14,103404,1988099,0.7502
17-10-2017,HDFC,EQ,1762.9,1760.8,1767.45,1751.3,1761.95,1759.75,1758.91,1432658,2.51992E+14,71959,1057264,0.738
18-10-2017,HDFC,EQ,1759.75,1759.75,1764.2,1749,1754.9,1751.55,1755.94,1747083,3.06777E+14,70832,1323681,0.7577
19-10-2017,HDFC,EQ,1751.55,1751,1754.75,1738.9,1743,1745.75,1747.64,119832,2.09424E+13,3912,50221,0.4191
23-10-2017,HDFC,EQ,1745.75,1751.8,1751.8,1713,1724,1722.4,1724.18,2813675,4.85128E+14,166259,2053240,0.7297
24-10-2017,HDFC,EQ,1722.4,1725,1732,1712,1723,1722.3,1722.4,1561822,2.69008E+14,66062,1090623,0.6983
25-10-2017,HDFC,EQ,1722.3,1736.9,1737.9,1649.35,1678,1677.65,1678.24,3823429,6.41663E+14,135735,2796635,0.7314
26-10-2017,HDFC,EQ,1677.65,1669.5,1707,1638,1697,1692.35,1660.45,6425264,1.06688E+15,185424,4671273,0.727
27-10-2017,HDFC,EQ,1692.35,1704,1716,1681.35,1693,1699.05,1696.53,1217140,2.06492E+14,79466,703486,0.578
30-10-2017,HDFC,EQ,1699.05,1706.4,1722.8,1685.1,1704.95,1705.8,1706.42,2705599,4.61689E+14,110793,1117178,0.4129
31-10-2017,HDFC,EQ,1705.8,1711,1727.8,1697.95,1700.95,1707.4,1716.03,2287919,3.92615E+14,87264,1329282,0.581
01-11-2017,HDFC,EQ,1707.4,1710,1760.1,1701.25,1751.9,1754.3,1741.46,3406418,5.93212E+14,116177,2609185,0.766
02-11-2017,HDFC,EQ,1754.3,1743.1,1769.85,1743.1,1761,1762.25,1760.35,2386293,4.20072E+14,103806,1942511,0.814
03-11-2017,HDFC,EQ,1762.25,1771,1790,1760.15,1772.35,1776.3,1776.95,1614278,2.86849E+14,52830,1122359,0.6953
06-11-2017,HDFC,EQ,1776.3,1770,1799,1766,1776,1790.2,1785.86,1465290,2.6168E+14,97457,1076963,0.735
07-11-2017,HDFC,EQ,1790.2,1783.6,1804,1760.25,1765.3,1764.65,1774.1,2261156,4.01152E+14,98209,1708607,0.7556
08-11-2017,HDFC,EQ,1764.65,1758.2,1777.95,1742.25,1745.2,1747.45,1758.84,2713933,4.77337E+14,140275,2105471,0.7758
09-11-2017,HDFC,EQ,1747.45,1760,1760,1706,1725,1725.85,1721.89,3596933,6.19351E+14,169382,2669132,0.7421
10-11-2017,HDFC,EQ,1725.85,1726,1726,1697.15,1709.55,1709.5,1711.06,2331920,3.99004E+14,59762,1652089,0.7085
13-11-2017,HDFC,EQ,1709.5,1700.1,1705,1666.4,1670.75,1670.3,1677.49,3835863,6.4346E+14,95839,3004332,0.7832
14-11-2017,HDFC,EQ,1670.3,1664,1682.55,1658,1662.95,1661.4,1665.81,3488363,5.81096E+14,131817,2412444,0.6916
15-11-2017,HDFC,EQ,1661.4,1663,1676.4,1648.4,1654,1650.9,1660.86,2688079,4.46453E+14,86748,1833576,0.6821
16-11-2017,HDFC,EQ,1650.9,1660,1672,1649.3,1670,1664.4,1660.21,4085012,6.782E+14,99751,3234096,0.7917
17-11-2017,HDFC,EQ,1664.4,1694,1720,1688.3,1702.2,1705.5,1706.48,4157219,7.09422E+14,161788,3011181,0.7243
20-11-2017,HDFC,EQ,1705.5,1699.9,1706.75,1685,1687,1689.2,1696.45,3406045,5.77818E+14,88825,2937316,0.8624
21-11-2017,HDFC,EQ,1689.2,1692.9,1706,1687,1690,1694.5,1698.09,3626597,6.1583E+14,115954,2903325,0.8006
22-11-2017,HDFC,EQ,1694.5,1694.5,1724.95,1692.75,1719.5,1718.15,1717.34,3096864,5.31836E+14,89144,2338425,0.7551
23-11-2017,HDFC,EQ,1718.15,1715,1720.95,1700.65,1705,1704.6,1711.5,1891748,3.23773E+14,46126,1225721,0.6479
24-11-2017,HDFC,EQ,1704.6,1707.9,1715,1697.1,1713.2,1711.05,1707.33,1269395,2.16728E+14,53537,738190,0.5815
27-11-2017,HDFC,EQ,1711.05,1709,1714.55,1699.6,1713,1711,1707.05,1160941,1.98179E+14,58401,791780,0.682
28-11-2017,HDFC,EQ,1711,1713.2,1737,1710,1725,1725.5,1727.66,2024236,3.49719E+14,108702,1237865,0.6115
29-11-2017,HDFC,EQ,1725.5,1727.1,1727.1,1700.35,1701.8,1704.15,1706.57,5140571,8.77275E+14,68014,4427216,0.8612
30-11-2017,HDFC,EQ,1704.15,1702,1703.85,1667.95,1671.7,1675.7,1679.9,6832920,1.14786E+15,116808,5062025,0.7408
01-12-2017,HDFC,EQ,1675.7,1684.2,1685.75,1651.05,1662.65,1658.8,1668.28,2269479,3.78612E+14,78800,1529584,0.674
04-12-2017,HDFC,EQ,1658.8,1664.9,1685,1655.6,1682.95,1680.4,1675.74,3197224,5.35773E+14,122521,2634622,0.824
05-12-2017,HDFC,EQ,1680.4,1677,1690,1663.4,1679.5,1679.5,1674.61,2444540,4.09365E+14,155513,1957726,0.8009
06-12-2017,HDFC,EQ,1679.5,1673.05,1675.4,1640.85,1644.25,1648.4,1659.06,3917846,6.49993E+14,136192,2990816,0.7634
07-12-2017,HDFC,EQ,1648.4,1650,1660,1644.1,1653.1,1655.55,1653.29,2212536,3.65796E+14,107008,1743454,0.788
08-12-2017,HDFC,EQ,1655.55,1665,1688.1,1660,1683.35,1682.95,1675.85,3673846,6.15681E+14,152407,3068964,0.8354
11-12-2017,HDFC,EQ,1682.95,1692,1718,1691,1717,1709.95,1702.12,2775331,4.72394E+14,106082,2191759,0.7897
12-12-2017,HDFC,EQ,1709.95,1707.1,1715,1698,1713.95,1710.8,1708.21,3650373,6.23562E+14,154907,3073728,0.842
13-12-2017,HDFC,EQ,1710.8,1709.1,1716.65,1688.3,1703.45,1696.7,1705.48,2176285,3.71161E+14,99944,1383235,0.6356
14-12-2017,HDFC,EQ,1696.7,1705,1710,1682.25,1709,1704.5,1696.79,1996271,3.38725E+14,130864,1422635,0.7126
15-12-2017,HDFC,EQ,1704.5,1714,1734.55,1713.05,1718,1723,1723.58,2987009,5.14835E+14,161250,2260364,0.7567
18-12-2017,HDFC,EQ,1723,1713.1,1741.3,1679.7,1718.7,1719.95,1720,2221752,3.82141E+14,141655,1428470,0.6429
19-12-2017,HDFC,EQ,1719.95,1722,1725,1704.65,1708.85,1709.15,1712.35,2431117,4.16292E+14,118546,1844085,0.7585
20-12-2017,HDFC,EQ,1709.15,1715.95,1718.35,1690,1690.05,1693.7,1701.9,2487331,4.23318E+14,122397,1807381,0.7266
21-12-2017,HDFC,EQ,1693.7,1710,1710,1695.25,1697,1701.9,1703.63,1712824,2.91802E+14,95299,1249079,0.7293
22-12-2017,HDFC,EQ,1701.9,1708.9,1717,1697,1710.1,1709.35,1707.73,1827617,3.12108E+14,66456,1263843,0.6915
26-12-2017,HDFC,EQ,1709.35,1715,1719,1702.05,1711,1713.2,1710.69,1367535,2.33943E+14,50234,925929,0.6771
27-12-2017,HDFC,EQ,1713.2,1710,1715,1705,1705.55,1707.9,1709.24,987445,1.68778E+14,31498,737854,0.7472
28-12-2017,HDFC,EQ,1707.9,1713.75,1715,1690.3,1692.3,1696.15,1706.47,1150023,1.96248E+14,52021,759693,0.6606
