s_no,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
613,2007-11-23,TCS,970.0,970.0,948.9,960.95,950.2,581016,556688091.95,958.13,,1.1313407703641338,992.9025000000001,1032.668
614,2007-11-26,TCS,980.0,994.0,970.0,985.1,960.95,563717,556897888.45,987.9,,2.5131380404807717,988.7575,1032.4170000000001
615,2007-11-27,TCS,990.0,999.0,970.1,995.95,985.1,376127,373456801.55,992.9,,1.1014110242614985,986.1300000000001,1032.287
616,2007-11-28,TCS,981.0,1004.0,970.0,976.5,995.95,759396,747812793.4,984.75,,-1.9529092825945122,983.0550000000001,1031.356
617,2007-11-29,TCS,1000.0,1001.7,951.0,966.05,976.5,1257422,1230778119.7,978.81,,-1.0701484895033329,980.2049999999999,1030.636
618,2007-11-30,TCS,966.05,1018.65,966.05,1012.2,966.05,1334666,1341681395.75,1005.26,,4.777185445887904,979.7550000000001,1030.524
619,2007-12-03,TCS,1016.0,1066.0,1010.4,1049.9,1012.2,1629087,1707256592.0,1047.98,,3.724560363564517,981.6849999999998,1031.377
620,2007-12-04,TCS,1049.9,1050.0,1025.05,1029.7,1049.9,445956,461753315.45,1035.42,,-1.9239927612153582,982.9549999999999,1031.937
621,2007-12-05,TCS,1030.0,1045.0,1020.5,1033.2,1029.7,517310,532975756.7,1030.28,,0.3399048266485384,984.7625,1031.786
622,2007-12-06,TCS,1040.0,1051.7,1031.2,1035.55,1033.2,1040863,1082124224.0,1039.64,,0.22744870305845036,987.0574999999999,1031.247
623,2007-12-07,TCS,1040.0,1072.05,1026.25,1062.6,1035.55,1201452,1262136898.5,1050.51,,2.6121384771377487,990.925,1031.2959999999998
624,2007-12-10,TCS,1070.1,1074.0,1030.0,1035.6,1062.6,966005,1009544689.0,1045.07,,-2.5409373235460198,994.5125,1031.175
625,2007-12-11,TCS,1049.0,1049.0,1025.25,1041.3,1035.6,726864,754553219.35,1038.09,,0.5504055619930519,999.21,1030.417
626,2007-12-12,TCS,1028.2,1060.0,1026.1,1053.4,1041.3,929652,967604256.25,1040.82,,1.1620090271775796,1002.5450000000001,1029.899
627,2007-12-13,TCS,1050.0,1063.8,1025.3,1029.6,1053.4,1162859,1221860422.6,1050.74,,-2.259350674007991,1005.015,1029.035
628,2007-12-14,TCS,1015.3,1055.0,1015.3,1040.4,1029.6,680109,709266866.55,1042.87,,1.0489510489510667,1007.89,1028.276
629,2007-12-17,TCS,1072.4,1072.4,1005.0,1012.4,1040.4,800832,814918263.5,1017.59,,-2.69127258746637,1008.8349999999998,1026.9569999999999
630,2007-12-18,TCS,1010.0,1040.0,1003.3,1010.45,1012.4,961465,974387879.8,1013.44,,-0.1926116159620636,1011.2924999999999,1025.267
